gene_id,T1_FPKM,T2_FPKM,T3_FPKM,T4_FPKM,T5_FPKM,T6_FPKM,T7_FPKM,T8_FPKM,T9_FPKM,T10_FPKM,T11_FPKM,T12_FPKM,T13_FPKM,T14_FPKM,T15_FPKM
YAR068W,431.465,440.781,464.925,611.006,529.723,490.919,412.928,399.438,314.765,364.2905,425.707,344.303,36.269,371.967,396.912
YAR069C,176.135,110.408,0.621445,0.0,257.668,27.979,105.839,193.503,36.202,285.663,519.252,353.889,147.086,219.725,368.786
YAR070C,277.971,156.789,0.588338,0.0,121.993,423.816,200.439,503.879,5.141,547.0155,860.282,113.912,765.877,485.469,436.506
YAR071W,186.345,16.516,163.051,13.184,162.645,143.877,179.829,168.217,163.225,95.0355,16.552,131.555,156.416,201.158,179.149
YAR073W,244.642,239.081,39.631,103.096,643.741,545.557,553.306,553.484,424.449,479.361,28.853,326.724,199.424,156.146,24.158
YAR075W,235.947,371.512,575.104,161.756,131.839,918.187,812.195,689.287,565.374,348.3235,393.927,202.562,192.036,361.175,308.382
YBL001C,2333.97,1830.9,1506.22,1270.68,751.59,1040.28,1099.05,1015.16,1062.38,1079.4450000000002,1839.14,2306.15,2297.02,2679.63,2779.94
YBL002W,310.78,338.955,426.856,774.195,933.009,1313.17,2538.06,4106.41,4670.53,3301.92,1898.05,1594.04,556.209,234.133,218.543
YBL003C,217.621,268.732,242.256,241.733,369.263,682.365,1503.15,2401.3,3247.86,2443.11,1499.57,1088.54,426.471,245.861,257.759
YBL004W,162.953,220.267,313.426,82.631,812.367,18.456,153.372,148.665,141.247,121.82400000000001,39.168,454.725,110.758,101.162,120.482
YBL005W,13.704,169.762,167.811,172.791,148.113,131.295,134.583,120.668,133.191,136.8265,123.004,111.038,115.887,110.738,119.483
YBL005W-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YBL005W-B,481.741,457.434,438.026,481.196,280.607,313.062,39.254,420.228,402.571,340.2065,322.221,340.587,290.544,292.348,28.623
YBL006C,104.752,108.061,111.355,107.174,140.754,122.93,106.218,110.939,117.59,123.149,115.549,879.175,121.019,134.798,145.817
