Gene_ID	Expression
YDL155W	559.434
YDL156W	100.724
YDL157C	215.998
YDL158C	763.853
YDL159C-B	695.907
YDL159W	228.538
YDL159W-A	142.686
YDL160C	311.852
YDL160C-A	214.797
YDL161W	126.108
YDL162C	227.367
YDL163W	200.844
YDL164C	18.305
YDL165W	130.755
YDL166C	978.085
YDL167C	144.628
YDL168W	229.737
YDL169C	177.448
YDL170W	407.154
YDL171C	120.789
YDL172C	235.438
YDL173W	204.625
YDL174C	210.857
YDL175C	388.765
YDL176W	213.148
YDL177C	707.595
YDL178W	748.374
YDL179W	119.924
YDL180W	32.293
YDL181W	3298.51
YDL182W	166.032
YDL183C	337.957
YDL184C	56047.7
YDL185C-A	204.047
YDL185W	191.495
YDL186W	833.653
YDL187C	0.683954
YDL188C	136.278
YDL189W	239.499
YDL190C	365.117
YDL191W	2306.58
YDL192W	460.128
YDL193W	784.598
YDL194W	273.732
YDL195W	725.585
YDL196W	683.954
YDL197C	577.444
YDL198C	670.018
YDL199C	437.906
YDL200C	216.894
YDL201W	451.673
YDL202W	506.541
YDL203C	285.103
YDL204W	1341.32
YDL205C	612.832
YDL206W	230.197
YDL207W	590.021
YDL208W	300.294
YDL209C	252.136
YDL210W	718.213
YDL211C	110.043
YDL212W	358.566
YDL213C	131.449
YDL214C	194.38
YDL215C	203.012
YDL216C	286.406
YDL217C	491.653
YDL218W	136.103
YDL219W	575.801
YDL220C	625.026
YDL221W	215.003
YDL222C	794.52
YDL223C	310.428
YDL224C	678.166
YDL225W	587.448
YDL226C	103.732
YDL227C	215.988
YDL228C	157.877
YDL229W	186.584
YDL230W	346.277
YDL231C	31.598
YDL232W	2786.93
YDL233W	338.921
YDL234C	798.871
YDL235C	148.964
YDL236W	870.675
YDL237W	898.178
YDL238C	376.287
YDL239C	300.025
YDL240C-A	120.165
YDL240W	141.373
YDL241W	518.858
YDL242W	985.011
YDL243C	224.439
YDL244W	611.818
YDL245C	965.762
YDL246C	305.934
YDL247W	896.783
YDL247W-A	3027.09
YDL248W	933.475
YDR001C	175.722
YDR002W	545.633
YDR003W	178.467
YDR003W-A	2427.94
YDR004W	65.434
YDR005C	167.822
YDR006C	294.059
YDR007W	142.426
YDR008C	127.869
YDR009W	146.276
YDR010C	13.381
YDR011W	684.146
YDR012W	526.266
YDR013W	481.965
YDR014W	133.886
YDR014W-A	368.195
YDR015C	0
YDR016C	212.981
YDR017C	303.254
YDR018C	679.541
YDR019C	103.863
YDR020C	187.404
YDR021W	738.459
YDR022C	129.763
YDR023W	209.127
YDR024W	0
YDR025W	907.759
YDR026C	405.668
YDR027C	299.772
YDR028C	89.902
YDR029W	622.375
YDR030C	484.069
YDR031W	169.901
